"SlNo","ProductDescription","AdmissionNo","LoanNo","Scheme","CropDescription","SanctionedDate","SanctionedAmount","LoanPeriod","DueDate","ROIPercentage","PenalROIPercentage","IODPercentage","OutstandingPrincipal","OutstandingInterest","PacsId","BranchId"
,"Normal KCC","92","77","Normal","Sugar Cane Plant","2023-06-19","112000","12","2024-06-18","12","0.01","12.01","112000","0","91150301037001",
,"Normal KCC","94","78","Normal","Sugar Cane Plant","2023-06-19","123000","12","2024-06-18","12","0.01","12.01","123000","0","91150301037001",
,"Normal KCC","96","79","Normal","Sugar Cane Plant","2023-06-19","124000","12","2024-06-18","12","0.01","12.01","124000","0","91150301037001",
,"Normal KCC","97","80","Normal","Sugar Cane Plant","2023-06-19","125000","12","2024-06-18","12","0.01","12.01","125000","0","91150301037001",
,"Normal KCC","98","81","Normal","Sugar Cane Plant","2023-06-19","100000","12","2024-06-18","12","0.01","12.01","100000","0","91150301037001",
,"Normal KCC","101","82","Normal","Sugar Cane Plant","2023-06-19","100000","12","2024-06-18","12","0.01","12.01","100000","0","91150301037001",
,"Normal KCC","102","83","Normal","Sugar Cane Plant","2023-06-19","120000","12","2024-06-18","12","0.01","12.01","120000","0","91150301037001",
,"Normal KCC","103","84","Normal","Sugar Cane Plant","2023-06-19","39000","12","2024-06-18","12","0.01","12.01","39000","0","91150301037001",
,"Normal KCC","73","85","Normal","Sugar Cane Plant","2023-06-19","80000","12","2024-06-18","12","0.01","12.01","80000","0","91150301037001",
,"Normal KCC","104","86","Normal","Sugar Cane Plant","2023-06-19","12000","12","2024-06-18","12","0.01","12.01","12000","0","91150301037001",
,"Normal KCC","106","87","Normal","Sugar Cane Plant","2023-06-19","55000","12","2024-06-18","12","0.01","12.01","55000","0","91150301037001",
,"Normal KCC","107","88","Normal","Sugar Cane Plant","2023-06-19","55000","12","2024-06-18","12","0.01","12.01","55000","0","91150301037001",
,"Normal KCC","108","89","Normal","Sugar Cane Plant","2023-06-19","95000","12","2024-06-18","12","0.01","12.01","95000","0","91150301037001",
,"Normal KCC","109","90","Normal","Sugar Cane Plant","2023-06-19","95000","12","2024-06-18","12","0.01","12.01","95000","0","91150301037001",
