AdmissionNo,ProductDescription,LoanNo,TransactionDate,LedgerFolioNo,DisbursementAmount,OtherChargesDebitAmount,CollectedPrincipal,CollectedInterest,CollectedPenalInterest,CollectedIOD,CollectedOthers,BalancePrincipal,BalanceInterest,BalancePenalInterest,BalanceIOD,Charges,PacsId,BranchId,PurposeDescription
202,Normal KCC,148,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
203,Normal KCC,149,19-06-2023,,140000,0,0,0,0,0,0,140000,0,0,0,0,91150301037001,,Sugar Cane Plant
204,Normal KCC,150,19-06-2023,,75000,0,0,0,0,0,0,75000,0,0,0,0,91150301037001,,Sugar Cane Plant
207,Normal KCC,153,19-06-2023,,65000,0,0,0,0,0,0,65000,0,0,0,0,91150301037001,,Sugar Cane Plant
184,Normal KCC,154,19-06-2023,,20000,0,0,0,0,0,0,20000,0,0,0,0,91150301037001,,Sugar Cane Plant
185,Normal KCC,155,19-06-2023,,21000,0,0,0,0,0,0,21000,0,0,0,0,91150301037001,,Sugar Cane Plant
186,Normal KCC,156,19-06-2023,,20000,0,0,0,0,0,0,20000,0,0,0,0,91150301037001,,Sugar Cane Plant
187,Normal KCC,157,19-06-2023,,95000,0,0,0,0,0,0,95000,0,0,0,0,91150301037001,,Sugar Cane Plant
188,Normal KCC,158,19-06-2023,,95000,0,0,0,0,0,0,95000,0,0,0,0,91150301037001,,Sugar Cane Plant
180,Normal KCC,160,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
208,Normal KCC,162,19-06-2023,,80000,0,0,0,0,0,0,80000,0,0,0,0,91150301037001,,Sugar Cane Plant
209,Normal KCC,163,19-06-2023,,42000,0,0,0,0,0,0,42000,0,0,0,0,91150301037001,,Sugar Cane Plant
210,Normal KCC,164,19-06-2023,,32000,0,0,0,0,0,0,32000,0,0,0,0,91150301037001,,Sugar Cane Plant
211,Normal KCC,165,19-06-2023,,32000,0,0,0,0,0,0,32000,0,0,0,0,91150301037001,,Sugar Cane Plant
182,Normal KCC,166,19-06-2023,,20000,0,0,0,0,0,0,20000,0,0,0,0,91150301037001,,Sugar Cane Plant
183,Normal KCC,167,19-06-2023,,21000,0,0,0,0,0,0,21000,0,0,0,0,91150301037001,,Sugar Cane Plant
213,Normal KCC,168,19-06-2023,,15000,0,0,0,0,0,0,15000,0,0,0,0,91150301037001,,Sugar Cane Plant
214,Normal KCC,169,19-06-2023,,15000,0,0,0,0,0,0,15000,0,0,0,0,91150301037001,,Sugar Cane Plant
215,Normal KCC,170,19-06-2023,,20000,0,0,0,0,0,0,20000,0,0,0,0,91150301037001,,Sugar Cane Plant
217,Normal KCC,172,19-06-2023,,100000,0,0,0,0,0,0,100000,0,0,0,0,91150301037001,,Sugar Cane Plant
218,Normal KCC,173,19-06-2023,,100000,0,0,0,0,0,0,100000,0,0,0,0,91150301037001,,Sugar Cane Plant
